review_id,date,platform,guest_type,rating,sentiment,comment,issues
REV-0001,2025-08-08,Expedia,Wedding,1,Negative,Room was smaller than expected,Food
REV-0002,2025-07-11,Booking.com,Conference,5,Positive,Peaceful and quiet atmosphere,
REV-0003,2025-04-08,Booking.com,Business,4,Positive,Very clean rooms and comfortable beds,
REV-0004,2025-04-26,Google Reviews,Conference,2,Negative,Noisy neighbors kept us awake,"Cleanliness, WiFi"
REV-0005,2025-01-24,Google Reviews,Conference,4,Positive,Peaceful and quiet atmosphere,
REV-0006,2025-11-02,Google Reviews,Wedding,5,Positive,Very clean rooms and comfortable beds,
REV-0007,2025-06-25,Expedia,Conference,5,Positive,Very clean rooms and comfortable beds,
REV-0008,2025-07-26,Booking.com,Leisure,3,Neutral,"Average stay, nothing special",
REV-0009,2025-04-19,Booking.com,Family,4,Positive,Excellent service and friendly staff,
REV-0010,2025-07-07,Booking.com,Wedding,5,Positive,Great location near the city center,
REV-0011,2025-10-01,Booking.com,Family,5,Positive,Good value for money,
REV-0012,2025-02-25,Booking.com,Business,5,Positive,Delicious breakfast buffet,
REV-0013,2025-08-16,Expedia,Business,4,Positive,Delicious breakfast buffet,
REV-0014,2025-12-26,TripAdvisor,Leisure,5,Positive,Good value for money,
REV-0015,2025-01-05,Google Reviews,Wedding,5,Positive,Good value for money,
REV-0016,2025-09-24,Google Reviews,Family,4,Positive,Very clean rooms and comfortable beds,
REV-0017,2025-08-03,Booking.com,Family,5,Positive,Excellent service and friendly staff,
REV-0018,2025-05-25,Booking.com,Business,4,Positive,Peaceful and quiet atmosphere,
REV-0019,2025-04-13,Google Reviews,Family,5,Positive,Great location near the city center,
REV-0020,2025-12-27,Expedia,Conference,3,Neutral,Met basic expectations,
REV-0021,2025-09-12,TripAdvisor,Wedding,4,Positive,Excellent service and friendly staff,
REV-0022,2025-01-07,Booking.com,Business,5,Positive,Good value for money,
REV-0023,2025-09-10,TripAdvisor,Business,5,Positive,Excellent service and friendly staff,
REV-0024,2025-02-21,Google Reviews,Leisure,4,Positive,Great location near the city center,
REV-0025,2025-05-16,Expedia,Business,2,Negative,Air conditioning not working properly,Staff
REV-0026,2025-07-04,Google Reviews,Wedding,5,Positive,Excellent service and friendly staff,
REV-0027,2025-01-24,Booking.com,Leisure,5,Positive,Very clean rooms and comfortable beds,
REV-0028,2025-06-18,Google Reviews,Wedding,5,Positive,Great location near the city center,
REV-0029,2025-02-17,Google Reviews,Conference,3,Neutral,Okay for the price,
REV-0030,2025-07-24,Expedia,Conference,5,Positive,Good value for money,
REV-0031,2025-09-02,Expedia,Leisure,2,Negative,Hot water ran out in the shower,Cleanliness
REV-0032,2025-02-23,Expedia,Family,4,Positive,Peaceful and quiet atmosphere,
REV-0033,2025-12-14,Expedia,Leisure,4,Positive,Professional and helpful front desk,
REV-0034,2025-07-03,Booking.com,Leisure,4,Positive,Delicious breakfast buffet,
REV-0035,2025-02-27,Expedia,Wedding,1,Negative,Breakfast options were limited,"WiFi, Facilities"
REV-0036,2025-10-23,TripAdvisor,Conference,4,Positive,Good value for money,
REV-0037,2025-12-25,Booking.com,Wedding,5,Positive,Very clean rooms and comfortable beds,
REV-0038,2025-09-04,Google Reviews,Wedding,3,Neutral,Met basic expectations,
REV-0039,2025-11-10,Booking.com,Business,5,Positive,Very clean rooms and comfortable beds,
REV-0040,2025-09-16,Expedia,Wedding,5,Positive,Excellent service and friendly staff,
REV-0041,2025-09-09,Google Reviews,Leisure,4,Positive,Great location near the city center,
REV-0042,2025-01-26,TripAdvisor,Family,5,Positive,Delicious breakfast buffet,
REV-0043,2025-05-01,Booking.com,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0044,2025-08-18,Booking.com,Wedding,4,Positive,Excellent service and friendly staff,
REV-0045,2025-09-12,Booking.com,Business,4,Positive,Excellent service and friendly staff,
REV-0046,2025-10-13,Booking.com,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0047,2025-11-23,Google Reviews,Family,4,Positive,Good value for money,
REV-0048,2025-12-10,Expedia,Conference,4,Positive,Excellent service and friendly staff,
REV-0049,2025-04-25,Expedia,Conference,4,Positive,Peaceful and quiet atmosphere,
REV-0050,2025-11-04,Expedia,Conference,5,Positive,Excellent service and friendly staff,
REV-0051,2025-02-19,TripAdvisor,Business,4,Positive,Professional and helpful front desk,
REV-0052,2025-11-21,Google Reviews,Family,4,Positive,Good value for money,
REV-0053,2025-02-24,Booking.com,Leisure,4,Positive,Professional and helpful front desk,
REV-0054,2025-07-29,Booking.com,Conference,4,Positive,Very clean rooms and comfortable beds,
REV-0055,2025-03-03,Expedia,Leisure,4,Positive,Professional and helpful front desk,
REV-0056,2025-04-08,Google Reviews,Business,5,Positive,Excellent service and friendly staff,
REV-0057,2025-11-21,Booking.com,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0058,2025-09-16,TripAdvisor,Wedding,1,Negative,Hot water ran out in the shower,Facilities
REV-0059,2025-08-10,Expedia,Family,5,Positive,Very clean rooms and comfortable beds,
REV-0060,2025-12-21,TripAdvisor,Leisure,2,Negative,Hot water ran out in the shower,"Facilities, Noise"
REV-0061,2025-08-03,TripAdvisor,Conference,4,Positive,Great location near the city center,
REV-0062,2025-05-31,Expedia,Leisure,3,Neutral,Met basic expectations,
REV-0063,2025-12-25,Google Reviews,Family,5,Positive,Good value for money,
REV-0064,2025-10-11,TripAdvisor,Leisure,3,Neutral,Met basic expectations,
REV-0065,2025-05-29,Google Reviews,Leisure,5,Positive,Good value for money,
REV-0066,2025-04-02,Google Reviews,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0067,2025-09-03,Expedia,Family,4,Positive,Professional and helpful front desk,
REV-0068,2025-08-05,Booking.com,Family,2,Negative,Noisy neighbors kept us awake,WiFi
REV-0069,2025-12-10,Booking.com,Leisure,3,Neutral,"Average stay, nothing special",
REV-0070,2025-05-27,Google Reviews,Leisure,5,Positive,Good value for money,
REV-0071,2025-06-01,TripAdvisor,Family,1,Negative,Checkout process took too long,"WiFi, Facilities"
REV-0072,2025-12-12,TripAdvisor,Family,4,Positive,Peaceful and quiet atmosphere,
REV-0073,2025-12-23,Google Reviews,Business,5,Positive,Delicious breakfast buffet,
REV-0074,2025-08-02,Google Reviews,Family,2,Negative,Hot water ran out in the shower,"Cleanliness, Facilities"
REV-0075,2025-08-15,TripAdvisor,Conference,5,Positive,Peaceful and quiet atmosphere,
REV-0076,2025-11-05,TripAdvisor,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0077,2025-12-16,Booking.com,Leisure,5,Positive,Good value for money,
REV-0078,2025-09-21,Booking.com,Wedding,1,Negative,Breakfast options were limited,"Cleanliness, Food"
REV-0079,2025-10-27,Google Reviews,Business,4,Positive,Good value for money,
REV-0080,2025-03-21,Booking.com,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0081,2025-01-27,Google Reviews,Wedding,5,Positive,Peaceful and quiet atmosphere,
REV-0082,2025-07-03,Booking.com,Conference,4,Positive,Very clean rooms and comfortable beds,
