item_name,stock_quantity,unit_cost_bwp,total_value_bwp,expiry_date,days_until_expiry,expiring_soon,daily_usage_rate,days_until_stockout,low_stock,value_at_risk_bwp
Paracetamol 500mg,5000,2.5,12500.0,2026-02-15,46,0,53,94,0,0.0
Ibuprofen 400mg,3000,3.8,11400.0,2026-02-28,59,0,58,51,0,0.0
Amoxicillin 250mg,2500,12.5,31250.0,2026-02-24,55,0,19,131,0,0.0
Metformin 500mg,4000,8.2,32800.0,2026-05-15,135,0,30,133,0,0.0
Amlodipine 5mg,3500,6.5,22750.0,2026-02-07,38,0,31,112,0,0.0
Omeprazole 20mg,2000,15.0,30000.0,2026-01-23,23,1,40,50,0,30000.0
Ciprofloxacin 500mg,1500,22.0,33000.0,2026-01-28,28,1,18,83,0,33000.0
Azithromycin 500mg,1200,28.0,33600.0,2026-01-14,14,1,16,75,0,33600.0
Insulin (10ml vial),400,85.0,34000.0,2026-01-13,13,1,4,100,0,34000.0
Salbutamol Inhaler,600,45.0,27000.0,2026-01-20,20,1,3,200,0,27000.0
Hydrocortisone Cream,800,18.5,14800.0,2026-03-28,87,0,6,133,0,0.0
Diclofenac 50mg,2000,7.2,14400.0,2026-02-01,32,0,23,86,0,0.0
Furosemide 40mg,1800,5.5,9900.0,2026-05-25,145,0,19,94,0,0.0
Atenolol 50mg,2200,4.8,10560.0,2026-06-12,163,0,22,100,0,0.0
IV Fluid (1L),3000,12.0,36000.0,2026-04-28,118,0,24,125,0,0.0
Gauze Pads (box),5000,8.0,40000.0,2026-12-17,351,0,63,79,0,0.0
Syringes (box of 100),4000,25.0,100000.0,2026-11-25,329,0,72,55,0,0.0
Gloves (box of 100),8000,15.0,120000.0,2026-06-05,156,0,84,95,0,0.0
