project_id,project_type,region,project_manager,tender_type,start_date,planned_end_date,actual_end_date,planned_duration_months,actual_duration_months,delay_months,delay_cause,status,contracted_budget_bwp,actual_cost_bwp,cost_variance_bwp,overrun_pct,will_overrun,labour_cost_bwp,material_cost_bwp,equipment_cost_bwp,subcontractor_cost_bwp,overhead_cost_bwp,material_waste_cost_bwp,material_waste_pct,workforce_headcount,quality_score,bid_estimate_bwp,bid_accuracy_pct,risk_score
SCL-0001,Government Office,Gaborone,PM_Moeti,Private,2019-02-24,2019-12-21,2020-06-18,10,16,6,Scope creep,Completed,5561000.0,7012200.0,1451200.0,26.1,1,1992700.0,2333600.0,716100.0,490000.0,1479800.0,317200.0,13.6,24,81.7,5680100.0,81.0,0.1809
SCL-0002,Road Construction,Francistown,PM_Segametsi,Government,2021-10-10,2024-05-27,2024-09-24,32,36,4,Scope creep,Completed,6421000.0,7961800.0,1540800.0,24.0,1,2629400.0,2799300.0,823900.0,763900.0,945300.0,265800.0,9.5,23,56.8,6384400.0,80.2,0.6376
SCL-0003,Commercial Building,Serowe,PM_Kebonye,Private,2021-03-31,2022-06-24,2022-07-24,15,16,1,Subcontractor failure,Completed,2733000.0,2649900.0,-83100.0,0.0,0,910200.0,1126500.0,340300.0,310100.0,-37200.0,40900.0,3.6,14,73.4,2758600.0,95.9,0.6116
SCL-0004,Residential Building,Maun,PM_Segametsi,Government,2020-06-18,2022-05-09,2022-05-09,23,23,0,None,Completed,11217000.0,10460700.0,-756300.0,0.0,0,4065400.0,3497600.0,1310100.0,803100.0,784500.0,81200.0,2.3,38,76.7,10624800.0,98.4,0.547
SCL-0005,Government Office,Maun,PM_Segametsi,Private,2020-12-20,2021-10-16,2022-02-13,10,14,4,Subcontractor failure,Completed,10536000.0,14998100.0,4462100.0,42.4,1,5099100.0,5812200.0,2696400.0,957400.0,433000.0,648300.0,11.2,37,72.4,9724000.0,64.8,0.6555
SCL-0006,Residential Building,Maun,PM_Moeti,Government,2023-12-08,2025-07-30,,20,33,13,Labour disputes,Active,7757000.0,10290500.0,2533500.0,32.7,1,4239100.0,4137200.0,1757400.0,1287200.0,-1130400.0,287400.0,6.9,23,,7487200.0,72.8,0.2524
SCL-0007,Education Infrastructure,Gaborone,PM_Ditiro,Private,2019-03-12,2020-03-06,2020-03-06,12,12,0,None,Completed,4762000.0,4530000.0,-232000.0,0.0,0,1365300.0,1877100.0,735200.0,466800.0,85600.0,138800.0,7.4,17,76.5,4949500.0,90.7,0.3227
SCL-0008,Commercial Building,Francistown,PM_Moeti,Government,2018-12-17,2019-10-13,2019-10-13,10,10,0,None,Completed,11078000.0,10354800.0,-723200.0,0.0,0,4317100.0,3933800.0,1582000.0,1498200.0,-976300.0,128100.0,3.3,34,87.0,11572700.0,88.2,0.2748
SCL-0009,Healthcare Facility,Francistown,PM_Ditiro,Government,2022-11-30,2023-10-26,2023-11-25,11,12,1,Design changes,Completed,6439000.0,6967100.0,528100.0,8.2,1,1971300.0,2669000.0,700700.0,841500.0,784600.0,400400.0,15.0,20,71.3,6114200.0,87.8,0.4464
SCL-0010,Healthcare Facility,Francistown,PM_Ditiro,Government,2024-05-27,2025-01-22,2025-01-22,8,8,0,None,Completed,2871000.0,2815200.0,-55800.0,0.0,0,974700.0,1016500.0,429900.0,240500.0,153600.0,29900.0,2.9,13,87.3,2865300.0,98.2,0.352
