delivery_id,vehicle_id,vehicle_type,driver_id,route,distance_km,is_cross_border,sector,cargo_type,departure_date,planned_hrs,actual_hrs,on_time,delay_hrs,border_delay_hrs,fuel_per_100km,fuel_used_L,fuel_cost_bwp,revenue_bwp,load_tons,load_pct,harsh_events,speeding_events,idle_time_hrs,maint_flag,vehicle_age,year,month
DLV-00001,TD-021,Long-Haul Articulated,DRV-037,Gaborone-Windhoek,1400,1,FMCG,Fresh Produce,2024-11-02,18.0,22.58,0,1.88,3.32,28.8,403.7,4272.0,12424.0,19.0,63.4,3,0,4.27,0,7,2024,2024-11
DLV-00002,TD-033,Long-Haul Articulated,DRV-135,Gaborone-Windhoek,1400,1,Mining,FMCG Cargo,2024-11-17,18.0,22.79,0,2.09,2.78,30.7,429.2,4392.0,11903.0,18.2,60.7,0,0,2.78,1,9,2024,2024-11
DLV-00003,TD-088,B-Train,DRV-125,Francistown-Harare,490,1,Retail,Mining Supplies,2023-05-21,9.0,10.76,0,0.41,1.27,47.3,231.6,2540.0,7121.0,36.3,90.8,1,1,1.32,0,7,2023,2023-05
DLV-00004,TD-087,B-Train,DRV-034,Gaborone-Francistown,400,0,Agriculture,Pharmaceuticals,2023-06-07,5.0,4.91,1,0.0,0.0,34.4,137.6,1482.0,4303.0,26.9,67.2,2,0,0.46,0,6,2023,2023-06
DLV-00005,TD-113,Light Commercial,DRV-012,Gaborone-Maun,680,0,Construction,Fresh Produce,2024-11-23,8.0,8.04,1,0.0,0.0,10.9,74.1,804.0,10681.0,2.1,71.4,0,0,1.06,0,5,2024,2024-11
DLV-00006,TD-060,Refrigerated,DRV-137,Local Gaborone,35,0,Retail,Fresh Produce,2025-03-14,1.5,2.16,0,0.44,0.0,46.5,16.3,164.0,606.0,17.3,96.2,0,0,0.28,1,9,2025,2025-03
DLV-00007,TD-119,Light Commercial,DRV-073,Local Gaborone,35,0,Construction,Construction Materials,2024-06-24,1.5,2.4,0,0.68,0.0,14.3,5.0,50.0,709.0,2.8,92.1,0,0,0.65,0,5,2024,2024-06
DLV-00008,TD-014,Long-Haul Articulated,DRV-124,Gaborone-Palapye,240,0,FMCG,Construction Materials,2023-04-16,3.0,3.11,1,0.0,0.0,44.6,107.0,1176.0,3153.0,28.2,93.8,0,0,0.51,1,10,2023,2023-04
DLV-00009,TD-022,Long-Haul Articulated,DRV-042,Gaborone-Palapye,240,0,FMCG,Pharmaceuticals,2024-06-09,3.0,3.23,1,0.0,0.0,44.5,106.8,1169.0,3240.0,28.9,96.4,0,0,0.45,0,7,2024,2024-06
DLV-00010,TD-007,Long-Haul Articulated,DRV-107,Gaborone-Windhoek,1400,1,Mining,Pharmaceuticals,2024-05-29,18.0,21.43,0,0.73,1.83,43.2,604.3,6239.0,19557.0,29.9,99.8,1,1,2.38,1,10,2024,2024-05
DLV-00011,TD-082,B-Train,DRV-026,Gaborone-Francistown,400,0,Pharmaceutical,FMCG Cargo,2023-12-10,5.0,5.28,1,0.0,0.0,48.5,193.8,2028.0,6189.0,38.7,96.7,0,0,0.44,0,7,2023,2023-12
DLV-00012,TD-121,Light Commercial,DRV-115,Gaborone-Maun,680,0,Agriculture,General Goods,2023-03-23,8.0,8.59,1,0.0,0.0,10.4,70.5,773.0,10507.0,2.1,70.2,0,0,1.17,0,8,2023,2023-03
DLV-00013,TD-029,Long-Haul Articulated,DRV-074,Gaborone-Lusaka,1300,1,Retail,Fresh Produce,2023-05-05,20.0,22.99,1,0.0,1.83,29.3,380.6,4175.0,11377.0,18.8,62.5,3,0,4.28,1,9,2023,2023-05
DLV-00014,TD-138,Courier Van,DRV-005,Local Gaborone,35,0,Pharmaceutical,Construction Materials,2024-08-11,1.5,1.27,1,0.0,0.0,11.6,4.1,41.0,870.0,0.9,88.7,0,0,0.17,0,3,2024,2024-08
DLV-00015,TD-091,B-Train,DRV-062,Gaborone-Francistown,400,0,Agriculture,Pharmaceuticals,2023-07-11,5.0,5.2,1,0.0,0.0,38.9,155.8,1734.0,4763.0,29.8,74.4,0,0,0.62,1,10,2023,2023-07
DLV-00016,TD-100,B-Train,DRV-121,Gaborone-Francistown,400,0,Mining,FMCG Cargo,2024-02-01,5.0,4.77,1,0.0,0.0,37.8,151.1,1484.0,4489.0,28.1,70.1,0,1,0.76,0,8,2024,2024-02
DLV-00017,TD-089,B-Train,DRV-062,Gaborone-Johannesburg,360,1,Pharmaceutical,FMCG Cargo,2024-10-05,6.5,9.9,0,2.42,3.7,32.3,116.4,1229.0,3558.0,24.7,61.8,1,0,1.18,0,3,2024,2024-10
DLV-00018,TD-119,Light Commercial,DRV-123,Gaborone-Maun,680,0,Pharmaceutical,Mining Supplies,2023-05-19,8.0,7.55,1,0.0,0.0,12.1,82.1,913.0,13261.0,2.7,88.6,0,0,0.79,0,5,2023,2023-05
